Id;KodePos;Kelurahan;Kecamatan;Jenis;Kabupaten;Propinsi
1;23611;Gampa;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
2;23611;Kampung Belakang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
3;23611;Kampung Darat;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
4;23611;Kampung Pasir;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
5;23611;Leuhan;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
6;23611;Padang Seurahet;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
7;23611;Seuneubok;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
8;23611;Suak Nie;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
9;23611;Suak Raya;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
10;23611;Suak Ribee;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
11;23611;Suak Sigadeng;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
12;23611;Suwak Indrapuri;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
13;23612;Panggong;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
14;23612;Pasar Aceh;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
15;23613;Ujung Kalak;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
16;23614;Kuta Padang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
17;23615;Balee;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
18;23615;Bukit Jaya;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
19;23615;Buloh;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
20;23615;Gunong Kleng;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
21;23615;Langung;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
22;23615;Mesjid Tuha;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
23;23615;Meureubo;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
24;23615;Pasi Aceh Baroh;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
25;23615;Pasi Aceh Tunong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
26;23615;Pasi Mesjid;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
27;23615;Pasi Pinang;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
28;23615;Paya Baro Rp.;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
29;23615;Paya Peunaga;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
30;23615;Peunaga Cut Ujong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
31;23615;Peunaga Pasi;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
32;23615;Peunaga Rayeuk;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
33;23615;Pucok Reudeup;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
34;23615;Pulo Teungoh Ranto;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
35;23615;Ranto Panyang Barat;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
36;23615;Ranto Panyang Timur;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
37;23615;Ranub Dong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
38;23615;Reudeup;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
39;23615;Sumber Batu;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
40;23615;Ujong Baroh;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
41;23615;Ujong Drien;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
42;23615;Ujong Tanjong;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
43;23615;Ujong Tanoh Darat;Meureubo;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
44;23616;Rundeng;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
45;23617;Drien Rampak;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
46;23618;Blang Berandang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
47;23618;Lapang;Johan Pahlawan;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
48;23652;Alue Bagok;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
49;23652;Alue Bakong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
50;23652;Alue Batee;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
51;23652;Alue Lhok;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
52;23652;Alue Raya;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
53;23652;Alue Sundak;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
54;23652;Arongan;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
55;23652;Beurawang;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
56;23652;Blang Sibeutong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
57;23652;Cot Amun;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
58;23652;Cot Buloh;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
59;23652;Cot Darat;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
60;23652;Cot Jurumudi;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
61;23652;Cot Keumuneng;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
62;23652;Cot Kumbang;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
63;23652;Cot Lada;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
64;23652;Cot Lampise;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
65;23652;Cot Mesjid;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
66;23652;Cot Pluh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
67;23652;Cot Seulamat;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
68;23652;Cot Seumeureng;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
69;23652;Deuah;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
70;23652;Drien Rampak;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
71;23652;Gampong Cot;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
72;23652;Gampong Ladang;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
73;23652;Gampong Teungoh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
74;23652;Gunong Panah;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
75;23652;Gunong Pulo;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
76;23652;Karang Hampa;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
77;23652;Keub;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
78;23652;Keureuseng;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
79;23652;Krueng Tinggai;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
80;23652;Kuala Bubon;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
81;23652;Kuala Pling;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
82;23652;Kubu;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
83;23652;Kuta Padang;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
84;23652;Layung;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
85;23652;Leukeun;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
86;23652;Lhok Bubon;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
87;23652;Liceh;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
88;23652;Lubok;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
89;23652;Mesjid Baro;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
90;23652;Pange;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
91;23652;Pante Meutia;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
92;23652;Panton Bahagia;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
93;23652;Panton Makmur;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
94;23652;Paya Lumpat;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
95;23652;Peulanteu Lb;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
96;23652;Peulanteu Sp;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
97;23652;Peuribu;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
98;23652;Pinem;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
99;23652;Pucok Lueng;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
100;23652;Rambong;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
101;23652;Rangkileh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
102;23652;Reusak;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
103;23652;Rimba Langgeh;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
104;23652;Seumuleng;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
105;23652;Seuneubok Lueng;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
106;23652;Seuneubok Teungoh;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
107;23652;Seuneubok Trap;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
108;23652;Simpang Peut;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
109;23652;Suak Bidok;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
110;23652;Suak Geudubang;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
111;23652;Suak Ie Beusou;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
112;23652;Suak Keumudee;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
113;23652;Suak Pandan;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
114;23652;Suak Pangkat;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
115;23652;Suak Pante Breuh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
116;23652;Suak Seukee;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
117;23652;Suak Seumaseh;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
118;23652;Suak Timah;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
119;23652;Teupin Peuraho;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
120;23652;Ujong Beusa;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
121;23652;Ujong Nga;Samatiga;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
122;23652;Ujong Simpang;Arongan Lambalek;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
123;23652;Ulee Blang;Bubon;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
124;23654;Alue Blang;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
125;23654;Alue Panyang;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
126;23654;Alue Sikaya;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
127;23654;Alue Sundak;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
128;23654;Aron Baroh;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
129;23654;Aron Tunong;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
130;23654;Bakat;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
131;23654;Blang Mee;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
132;23654;Cot Keumudee;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
133;23654;Cot Lagan BB/Cm;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
134;23654;Cot Murong;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
135;23654;Cot Situah;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
136;23654;Darul Huda;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
137;23654;Drin Mangko;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
138;23654;Gempa Raya;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
139;23654;Glee Siblah;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
140;23654;Gunong/Gunung Rambong;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
141;23654;Gunung Hampa;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
142;23654;Ie Itam Baroh;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
143;23654;Ie Itam Tunong;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
144;23654;Jawa;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
145;23654;Jawi;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
146;23654;Keuleumbah;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
147;23654;Kuala Bhee;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
148;23654;Lhung Tgk Yah;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
149;23654;Lueng Buloh;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
150;23654;Lueng Jawa;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
151;23654;Lueng Tanoh Tho;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
152;23654;Padang Jawa;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
153;23654;Panton;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
154;23654;Pasi Aceh;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
155;23654;Pasi Ara Kb;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
156;23654;Pasi Birah;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
157;23654;Pasi Lunak;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
158;23654;Pasi Pandan;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
159;23654;Paya Dua;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
160;23654;Paya Luah;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
161;23654;Pulo Ie;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
162;23654;Ranto Panyang;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
163;23654;Seumantok;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
164;23654;Suak Tring;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
165;23654;Teumarom;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
166;23654;Tingkeum Panyang;Woyla;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
167;23681;Alue Keumang;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
168;23681;Alue Lhee;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
169;23681;Alue Lhok;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
170;23681;Alue On;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
171;23681;Alue Peudeung;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
172;23681;Alue Tampak;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
173;23681;Antong;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
174;23681;Babah Iseung;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
175;23681;Babah Krueng Manggie;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
176;23681;Babah Krueng Teklep;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
177;23681;Babah Lueng;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
178;23681;Babah Meulaboh;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
179;23681;Baro Paya;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
180;23681;Batu Jaya;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
181;23681;Berdikari;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
182;23681;Beureugang;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
183;23681;Blang Balee;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
184;23681;Blang Dalam;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
185;23681;Blang Geunang;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
186;23681;Blang Teungoh;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
187;23681;Canggai;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
188;23681;Cot Manggie;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
189;23681;Drien Calee;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
190;23681;Drien Sibak;Sungai Mas;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
191;23681;Gampong Baro;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
192;23681;Geudong;Sungai Mas;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
193;23681;Gunong Tarok;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
194;23681;Gunung Mata Ie;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
195;23681;Jambak;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
196;23681;Keude Aron;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
197;23681;Keude Suwak Awe;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
198;23681;Keude Tanjong;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
199;23681;Keuramat;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
200;23681;Keutambang;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
201;23681;Krueng Beukah;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
202;23681;Kuala Manye;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
203;23681;Lango;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
204;23681;Lawet;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
205;23681;Lek Lek;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
206;23681;Lhok Guci;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
207;23681;Lhok Sari;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
208;23681;Manggie;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
209;23681;Manjeng;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
210;23681;Marek;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
211;23681;Menuang Kinco;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
212;23681;Menuang Tanjong;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
213;23681;Mesjid;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
214;23681;Meunasah Ara;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
215;23681;Meunasah Buloh;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
216;23681;Meunasah Gantung;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
217;23681;Meunasah Rambot;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
218;23681;Meunasah Rayeuk;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
219;23681;Meutulang;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
220;23681;Mugo Cut;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
221;23681;Mugo Rayeuk;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
222;23681;Muko;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
223;23681;Padang Mancang;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
224;23681;Padang Sikabu;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
225;23681;Palimbungan;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
226;23681;Pante Ceureumen (Pante Cermin);Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
227;23681;Pasi Ara;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
228;23681;Pasi Jambu;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
229;23681;Pasi Jeumpa;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
230;23681;Pasi Kumbang;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
231;23681;Pasi Meugat;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
232;23681;Pasi Teungoh;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
233;23681;Paya Baro Meuko;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
234;23681;Peunia;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
235;23681;Pucok Pungkie;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
236;23681;Pulo Teungoh Manyeng;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
237;23681;Pungkie;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
238;23681;Putim;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
239;23681;Puuk;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
240;23681;Sawang Rambot;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
241;23681;Sawang Teubee;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
242;23681;Seumantok;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
243;23681;Seumara;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
244;23681;Sibintang;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
245;23681;Sikundo;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
246;23681;Simpang;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
247;23681;Suwak Awe;Pante Ceureumen (Pantai Ceuremen);Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
248;23681;Tamping;Panton Reu;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
249;23681;Tanjong Bunga;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
250;23681;Tanjong Meulaboh;Kaway XVI;Kab.;Aceh Barat;Nanggroe Aceh Darussalam (NAD)
